cause_of_death,category_human,train_test
malignant neoplasm colon unspecified,colorectal cancer,train
malignant neoplasm conjunctiva,none,test
malignant neoplasm connective and soft tissue of abdomen,none,test
malignant neoplasm connective and soft tissue of head face and neck,none,train
malignant neoplasm connective and soft tissue of lower limb including hip,none,train
malignant neoplasm connective and soft tissue of pelvis,none,train
malignant neoplasm connective and soft tissue of thorax,none,train
malignant neoplasm connective and soft tissue of trunk unspecified,none,test
malignant neoplasm connective and soft tissue of upper limb including shoulder,none,train
malignant neoplasm connective and soft tissue unspecified,none,test
malignant neoplasm corpus uteri unspecified,none,train
malignant neoplasm cortex of adrenal gland,none,train
malignant neoplasm craniopharyngeal duct,none,train
malignant neoplasm descended testis,none,train
malignant neoplasm descending colon,colorectal cancer,train
malignant neoplasm duodenum,none,train
malignant neoplasm endocervix,none,test
malignant neoplasm endocrine gland unspecified,none,train
malignant neoplasm endocrine pancreas,pancreatic cancer,test
malignant neoplasm endometrium,none,test
malignant neoplasm epididymis,none,train
malignant neoplasm ethmoidal sinus,none,train
malignant neoplasm exocervix,none,train
malignant neoplasm external lower lip,oral cavity cancer,test
malignant neoplasm external upper lip,oral cavity cancer,test
malignant neoplasm extrahepatic bile duct,none,test
malignant neoplasm eye unspecified,none,train
malignant neoplasm fallopian tube,none,train
malignant neoplasm female genital organ unspecified,none,test
malignant neoplasm floor of mouth unspecified,oral cavity cancer,train
malignant neoplasm frontal lobe,none,test
malignant neoplasm frontal sinus,none,train
malignant neoplasm fundus of stomach,stomach cancer,train
malignant neoplasm glans penis,none,train
malignant neoplasm glottis,larynx cancer,train
malignant neoplasm gum unspecified,oral cavity cancer,test
malignant neoplasm hard palate,oral cavity cancer,train
malignant neoplasm head of pancreas,pancreatic cancer,train
malignant neoplasm heart,none,train
malignant neoplasm hepatic flexure,colorectal cancer,train
malignant neoplasm hepatoblastoma,none,test
malignant neoplasm hypopharynx unspecified,none,train
malignant neoplasm ileum,none,test
malignant neoplasm ill-defined sites within the digestive system,none,train
malignant neoplasm ill-defined sites within the respiratory system,none,test
malignant neoplasm intestinal tract part unspecified,none,test
malignant neoplasm intrahepatic bile duct carcinoma,none,train
malignant neoplasm jejunum,none,train
malignant neoplasm labium majus,none,train
malignant neoplasm lacrimal gland and duct,none,train
malignant neoplasm laryngeal cartilage,larynx cancer,test
malignant neoplasm larynx unspecified,larynx cancer,test
malignant neoplasm lateral wall of bladder,bladder cancer,train
malignant neoplasm lateral wall of nasopharynx,none,train
malignant neoplasm lesser curvature of stomach unspecified,stomach cancer,test
malignant neoplasm lingual tonsil,oral cavity cancer,test
malignant neoplasm lip unspecified,oral cavity cancer,train
malignant neoplasm lip unspecified inner aspect,oral cavity cancer,train
malignant neoplasm liver cell carcinoma,none,train
malignant neoplasm liver unspecified,none,train
malignant neoplasm long bones of lower limb,none,train
malignant neoplasm lower gum,oral cavity cancer,train
malignant neoplasm lower lobe bronchus or lung,lung cancer,train
malignant neoplasm lower third of oesophagus,esophageal cancer,train
malignant neoplasm main bronchus,lung cancer,train
malignant neoplasm major salivary gland unspecified,oral cavity cancer,train
malignant neoplasm male genital organ unspecified,none,test
malignant neoplasm malignant melanoma of ear and external auricular canal,none,test
malignant neoplasm malignant melanoma of eyelid including canthus,none,test
malignant neoplasm malignant melanoma of lip,none,train
malignant neoplasm malignant melanoma of lower limb including hip,none,train
malignant neoplasm malignant melanoma of other and unspecified parts of face,none,train
malignant neoplasm malignant melanoma of scalp and neck,none,train
malignant neoplasm malignant melanoma of skin unspecified,none,train
malignant neoplasm malignant melanoma of trunk,none,train
malignant neoplasm malignant melanoma of upper limb including shoulder,none,test
malignant neoplasm malignant neoplasm of skin unspecified,none,train
malignant neoplasm mandible,none,train
malignant neoplasm maxillary sinus,none,train
malignant neoplasm meckel diverticulum,none,test
malignant neoplasm mediastinum part unspecified,none,test
malignant neoplasm medulla of adrenal gland,none,train
malignant neoplasm meninges unspecified,none,train
malignant neoplasm middle ear,none,train
malignant neoplasm middle lobe bronchus or lung,lung cancer,train
malignant neoplasm middle third of oesophagus,esophageal cancer,test
malignant neoplasm mouth unspecified,oral cavity cancer,train
malignant neoplasm myometrium,none,train
malignant neoplasm nasal cavity,none,test
malignant neoplasm nasopharynx unspecified,none,test
malignant neoplasm nipple and areola,none,train
malignant neoplasm occipital lobe,none,train
malignant neoplasm oesophagus unspecified,esophageal cancer,train
malignant neoplasm of lymphoid haematopoietic and related tissue unspecified,none,train
malignant neoplasm of other and ill-defined sites abdomen,none,test
malignant neoplasm of other and ill-defined sites head face and neck,none,train
malignant neoplasm of other and ill-defined sites lower limb,none,train
malignant neoplasm of other and ill-defined sites other ill-defined sites,none,test
malignant neoplasm of other and ill-defined sites overlapping lesion of other and ill-defined sites,none,train
malignant neoplasm of other and ill-defined sites pelvis,none,train
malignant neoplasm of other and ill-defined sites thorax,none,train
malignant neoplasm of other and ill-defined sites upper limb,none,train
malignant neoplasm olfactory nerve,none,train
malignant neoplasm optic nerve,none,train
malignant neoplasm orbit,none,train
malignant neoplasm oropharynx unspecified,none,train
malignant neoplasm other and unspecified cranial nerves,none,train
malignant neoplasm other parts of pancreas,pancreatic cancer,train
malignant neoplasm other specified female genital organs,none,train
malignant neoplasm other specified male genital organs,none,train
malignant neoplasm overlapping lesion of accessory sinuses,none,train
malignant neoplasm overlapping lesion of biliary tract,none,train
malignant neoplasm overlapping lesion of bladder,bladder cancer,train
malignant neoplasm overlapping lesion of brain,none,train
malignant neoplasm overlapping lesion of brain and other parts of central nervous system,none,test
malignant neoplasm overlapping lesion of bronchus and lung,lung cancer,train
malignant neoplasm overlapping lesion of digestive system,none,train
malignant neoplasm overlapping lesion of female genital organs,none,test
malignant neoplasm overlapping lesion of floor of mouth,oral cavity cancer,train
malignant neoplasm overlapping lesion of larynx,larynx cancer,test
malignant neoplasm overlapping lesion of lip oral cavity and pharynx,oral cavity cancer,train
malignant neoplasm overlapping lesion of other and unspecified parts of mouth,oral cavity cancer,train
malignant neoplasm overlapping lesion of palate,oral cavity cancer,train
malignant neoplasm overlapping lesion of pancreas,pancreatic cancer,test
malignant neoplasm overlapping lesion of rectum anus and anal canal,none,train
malignant neoplasm overlapping lesion of respiratory and intrathoracic organs,none,train
malignant neoplasm overlapping lesion of skin,none,test
malignant neoplasm overlapping lesion of small intestine,none,train
malignant neoplasm overlapping lesion of stomach,stomach cancer,train
malignant neoplasm overlapping lesion of tongue,oral cavity cancer,test
malignant neoplasm overlapping lesion of urinary organs,none,train
malignant neoplasm overlapping malignant melanoma of skin,none,train
malignant neoplasm palate unspecified,oral cavity cancer,train
malignant neoplasm pancreas unspecified,pancreatic cancer,train
malignant neoplasm pancreatic duct,pancreatic cancer,test
malignant neoplasm parathyroid gland,none,train
malignant neoplasm parietal lobe,none,test
malignant neoplasm pelvic bones sacrum and coccyx,none,test
malignant neoplasm penis unspecified,none,train
malignant neoplasm peripheral nerves and autonomic nervous system unspecified,none,test
malignant neoplasm peripheral nerves of head face and neck,none,train
malignant neoplasm peripheral nerves of lower limb including hip,none,train
malignant neoplasm peripheral nerves of pelvis,none,train
malignant neoplasm peripheral nerves of thorax,none,test
malignant neoplasm peripheral nerves of upper limb including shoulder,none,test
